"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"8.0","Colorado","DFC SERVICE CENTER","1.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5317592.0","274554.0","11297.0","121126.0","0.0","0.0","16204217.0","78042.0","0.0","0.0","0.0","0.0","107500.0","2689.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","2.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5675723.0","281356.0","11076.0","118754.0","0.0","0.0","26431521.0","182268.0","0.0","0.0","0.0","0.0","107500.0","2689.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","3.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5847941.0","287954.0","10482.0","12379.0","0.0","0.0","31392463.0","214756.0","0.0","0.0","0.0","0.0","107500.0","2689.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","4.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5093910.0","288025.0","10692.0","114640.0","0.0","0.0","30106182.0","206334.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","5.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5068897.0","282490.0","10279.0","110213.0","0.0","0.0","26159463.0","180490.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","6.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5321648.0","294540.0","10881.0","116657.0","0.0","0.0","25388491.0","175440.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","7.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5450548.0","293796.0","11394.0","122159.0","0.0","0.0","19716810.0","138352.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","8.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5471154.0","301418.0","12364.0","128191.0","0.0","0.0","10349027.0","77793.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","9.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5868164.0","305884.0","12680.0","123768.0","0.0","0.0","3543821.0","31349.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","10.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","6347753.0","327390.0","13312.0","129939.0","0.0","0.0","1663379.0","20085.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","11.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5891658.0","306766.0","12619.0","123176.0","0.0","0.0","2126020.0","23124.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","DFC SERVICE CENTER","12.0","2005.0","CO0000AA","D001","A","W, X","4242990.0","5447425.0","289212.0","12446.0","118526.0","0.0","0.0","5265393.0","43674.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","1.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","193930.0","12480.0","0.0","0.0","905.0","16546.0","127139.0","957.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","2.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","206480.0","12663.0","0.0","0.0","1213.0","24002.0","175425.0","1514.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","3.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","210521.0","13346.0","0.0","0.0","1480.0","29659.0","175425.0","1514.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","4.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","187801.0","13145.0","0.0","0.0","1360.0","27762.0","169264.0","1347.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","5.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","183059.0","12991.0","0.0","0.0","1063.0","21703.0","152840.0","1179.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","6.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","202934.0","13444.0","0.0","0.0","1134.0","23126.0","158797.0","1215.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","7.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","188738.0","12994.0","0.0","0.0","753.0","15337.0","123650.0","981.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8.0","Colorado","COLORADO SERVICE CENTER","8.0","2005.0","CO0006ZZ","C001","A","X, G, W","274800.0","193933.0","13304.0","0.0","0.0","508.0","10359.0","73526.0","628.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
