"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"8.0","Colorado","DFC SERVICE CENTER","1.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5109361.0","288051.0","11021.0","49278.0","0.0","0.0","14157663.0","144893.0","0.0","0.0","0.0","0.0","13229828.0","12501.0","0.0","0.0","0.0","0.0","7086970.0","22056.0"
"8.0","Colorado","DFC SERVICE CENTER","2.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5674756.0","309611.0","11098.0","50057.0","0.0","0.0","23963319.0","198265.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5030118.0","17920.0"
"8.0","Colorado","DFC SERVICE CENTER","3.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5740832.0","290043.0","10584.0","47327.0","0.0","0.0","30785114.0","314332.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4382100.0","14097.0"
"8.0","Colorado","DFC SERVICE CENTER","4.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5400669.0","237358.0","10655.0","48118.0","0.0","0.0","25864967.0","268518.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3799400.0","13056.0"
"8.0","Colorado","DFC SERVICE CENTER","5.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5050914.0","227226.0","10430.0","46636.0","0.0","0.0","21001884.0","220070.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3972500.0","13373.0"
"8.0","Colorado","DFC SERVICE CENTER","6.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5085562.0","232768.0","10686.0","47783.0","0.0","0.0","18196833.0","208636.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6217100.0","17847.0"
"8.0","Colorado","DFC SERVICE CENTER","7.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5268438.0","252404.0","11251.0","50322.0","0.0","0.0","16146735.0","166023.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5027800.0","27178.0"
"8.0","Colorado","DFC SERVICE CENTER","8.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5602139.0","270155.0","11774.0","56058.0","0.0","0.0","12219305.0","116058.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6466700.0","32241.0"
"8.0","Colorado","DFC SERVICE CENTER","9.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5561275.0","300174.0","12293.0","69223.0","0.0","0.0","6087400.0","47040.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6071400.0","29818.0"
"8.0","Colorado","DFC SERVICE CENTER","10.0","2009.0","CO0000AA","D001","A","W, X","4242990.0","5185497.0","325864.0","12481.0","70282.0","0.0","0.0","2747548.0","18878.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16365400.0","69496.0"
