"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"2.0","New Jersey","NEW JERSEY PMC","1.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","143381.0","20163.0","0.0","0.0","0.0","0.0","184386.0","4235.0","0.0","0.0","0.0","0.0","14338.0","0.0","0.0","0.0","0.0","0.0","1496.0","157.0"
"2.0","New Jersey","NEW JERSEY PMC","2.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","157188.0","23930.0","0.0","0.0","0.0","0.0","977491.0","36001.0","0.0","0.0","0.0","0.0","15719.0","0.0","0.0","0.0","0.0","0.0","748.0","157.0"
"2.0","New Jersey","NEW JERSEY PMC","3.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","133991.0","18740.0","0.0","0.0","0.0","0.0","225372.0","5064.0","0.0","0.0","0.0","0.0","13399.0","0.0","0.0","0.0","0.0","0.0","748.0","24.0"
"2.0","New Jersey","NEW JERSEY PMC","4.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","148557.0","20850.0","0.0","0.0","0.0","0.0","797658.0","15030.0","0.0","0.0","0.0","0.0","14856.0","0.0","0.0","0.0","0.0","0.0","748.0","255.0"
"2.0","New Jersey","NEW JERSEY PMC","5.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","139901.0","20554.0","0.0","0.0","0.0","0.0","542128.0","10601.0","0.0","0.0","0.0","0.0","13990.0","0.0","0.0","0.0","0.0","0.0","748.0","167.0"
"2.0","New Jersey","NEW JERSEY PMC","6.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","170047.0","24003.0","0.0","0.0","0.0","0.0","888536.0","14753.0","0.0","0.0","0.0","0.0","17005.0","0.0","0.0","0.0","0.0","0.0","748.0","167.0"
"2.0","New Jersey","NEW JERSEY PMC","7.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","170664.0","23900.0","0.0","0.0","0.0","0.0","214443.0","3632.0","0.0","0.0","0.0","0.0","17066.0","0.0","0.0","0.0","0.0","0.0","748.0","167.0"
"2.0","New Jersey","NEW JERSEY PMC","8.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","193505.0","30668.0","0.0","0.0","0.0","0.0","0.0","88.0","0.0","0.0","0.0","0.0","19351.0","0.0","0.0","0.0","0.0","0.0","748.0","167.0"
"2.0","New Jersey","NEW JERSEY PMC","9.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","204446.0","35778.0","0.0","0.0","0.0","0.0","53231.0","974.0","0.0","0.0","0.0","0.0","20445.0","0.0","0.0","0.0","0.0","0.0","1496.0","167.0"
"2.0","New Jersey","NEW JERSEY PMC","10.0","2009.0","NJ0056ZZ","5400.0","A","G","158999.0","207084.0","34759.0","0.0","0.0","0.0","0.0","21859.0","453.0","0.0","0.0","0.0","0.0","20708.0","0.0","0.0","0.0","0.0","0.0","2244.0","167.0"
