1,2003,0
2,2003,0
3,2003,0
4,2003,0
5,2003,0
6,2003,0
7,2003,0
8,2003,0
9,2003,0
10,2003,0
11,2003,0
12,2003,0
1,2004,0
2,2004,0
3,2004,0
4,2004,0
5,2004,0
6,2004,0
7,2004,0
8,2004,0
9,2004,0
10,2004,0
11,2004,0
12,2004,0
1,2005,0
2,2005,0
3,2005,0
4,2005,0
5,2005,0
6,2005,0
7,2005,0
8,2005,0
9,2005,0
10,2005,0
11,2005,0
12,2005,0
1,2006,0
2,2006,0
3,2006,0
4,2006,0
5,2006,0
6,2006,0
7,2006,0
8,2006,0
9,2006,0
10,2006,0
11,2006,0
12,2006,0
1,2007,160820
2,2007,115192
3,2007,115192
4,2007,139502
5,2007,139502
6,2007,166430
7,2007,166430
8,2007,231880
9,2007,231880
10,2007,297704
11,2007,297704
12,2007,103224
1,2008,103224
2,2008,113322
3,2008,113322
4,2008,55352
5,2008,55352
6,2008,155210
7,2008,155210
8,2008,265166
9,2008,265166
10,2008,221408
11,2008,124417
12,2008,153714
1,2009,153714
2,2009,109208
3,2009,109208
4,2009,129778
5,2009,129778
6,2009,154462
7,2009,154462
8,2009,216546
9,2009,216546
10,2009,260304
11,2009,260304
12,2009,120802
1,2010,120802
2,2010,102850
3,2010,102850
4,2010,94248
5,2010,94248
6,2010,121550
7,2010,121550
8,2010,209814
9,2010,209814
10,2010,280126
11,2010,280126
12,2010,152218
1,2011,152218
2,2011,109582
3,2011,109582
4,2011,87142
5,2011,87142
6,2011,104720
7,2011,104720
8,2011,148104
9,2011,148852
10,2011,236368
11,2011,236368
12,2011,157080
1,2012,157080
2,2012,84150
3,2012,84150
4,2012,89760
5,2012,89760
6,2012,115940
7,2012,115940
8,2012,192236
9,2012,192236
10,2012,247588
11,2012,247588
12,2012,120428
1,2013,120428
2,2013,86768
3,2013,86768
4,2013,94662
5,2013,94662
6,2013,105094
7,2013,105094
8,2013,195976
9,2013,195976
10,2013,276012
11,2013,276012
12,2013,99484
1,2014,99484
2,2014,78166
3,2014,78166
4,2014,80410
5,2014,80410
6,2014,126038
7,2014,126038
8,2014,241230
9,2014,241230
10,2014,259182
11,2014,259182
12,2014,188122
1,2015,188122
2,2015,193732
3,2015,193732
4,2015,242352
5,2015,242352
6,2015,251702
7,2015,251702
8,2015,305184
9,2015,305184
10,2015,327250
11,2015,327250
12,2015,157454
1,2016,157454
2,2016,162690
3,2016,162690
4,2016,242352
5,2016,242352
6,2016,0
7,2016,0
8,2016,0
9,2016,0
10,2016,0
11,2016,0
12,2016,0
1,2003,0
2,2003,0
3,2003,0
4,2003,0
5,2003,0
6,2003,0
7,2003,0
8,2003,0
9,2003,0
10,2003,0
11,2003,0
12,2003,0
1,2004,0
2,2004,0
3,2004,0
4,2004,0
5,2004,0
6,2004,0
7,2004,0
8,2004,0
9,2004,0
10,2004,0
11,2004,0
12,2004,0
1,2005,0
2,2005,0
3,2005,0
4,2005,0
5,2005,0
6,2005,0
7,2005,0
8,2005,0
9,2005,0
10,2005,0
11,2005,0
12,2005,0
1,2006,0
2,2006,0
3,2006,0
4,2006,0
5,2006,0
6,2006,0
